,genre_ids,title,poster_path,tmdb_id,popularity,keywords,vote_count,vote_average,director,imdb_votes,certificate,num_stunts,num_fx,year,month,group5,group4,group7,group6,group1,group3,group2
4506,"[10752, 18]",Max,/fzl48iRWkalx6c84lokVBoTQJjS.jpg,13560.0,1.322247,"infidelity,controversy",32.0,6.0,Menno Meyjes,6418.0,15,8.0,13.0,2002.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
362,"[36, 80, 18]",Public Enemies,/qisfF7ENdmGI8fpQJoCxIIU1QhH.jpg,11322.0,3.069871,"cinema,hiding place,machinegun,prison guard,escape from prison,dillinger",1088.0,6.5,Michael Mann,239148.0,15,41.0,31.0,2009.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5358,"[36, 12, 18]",The Colossus of Rhodes,/7eQo6dj8B89BS1xC25UvJICia8f.jpg,43020.0,1.248371,"greek mythology,plot",20.0,6.1,Sergio Leone,1988.0,A,1.0,2.0,1961.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5329,"[10752, 18, 28, 12, 36]",The Pacific,/xV7FKNqOwnO3aJSiRM8WCrwdRS8.jpg,189197.0,1.251895,"world war ii,mini-series,hbo",266.0,7.8,Jeremy Podeswa,73913.0,15,45.0,59.0,2010.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3130,"[10752, 28, 12, 18, 10749, 53]",To Have and Have Not,/f08VziHiblKKcGxjNSIOcs4AJX0.jpg,22584.0,1.541352,"fishing,island,nazis,french resistance,singer,alcoholic,hemingway,expatriate,martinique,sidekick,film noir",84.0,7.5,Howard Hawks,24541.0,TV-G,2.0,2.0,1944.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4649,"[36, 10752, 28, 18]",Heaven & Earth,/hXSUatA39pbfwaqOGFHFdwswAXc.jpg,31642.0,1.31044,"vietnam,vietnam war,biography,dog,immigrant experience",43.0,6.3,Oliver Stone,11159.0,15,5.0,3.0,1993.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2278,"[10752, 35, 18]",Catch-22,/jhq5xbJh2uvUQaBoQEIfsB2iNg2.jpg,10364.0,1.727936,"world war ii,island,bomber,pianosa,american",56.0,6.6,Mike Nichols,17929.0,R,8.0,1.0,1970.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1694,"[10752, 28, 18, 36]",The Heroes of Telemark,/9nAExxKTVYOox0nR9nwtIkVEKN7.jpg,16850.0,1.885579,"world war ii,saboteur,resistance fighter",23.0,5.8,Anthony Mann,5155.0,Approved,6.0,4.0,1965.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4919,"[10752, 18, 28, 10769]",Von Richthofen and Brown,/d691rGgc46Ac7JdaxmQ8Sp7e9DP.jpg,84285.0,1.2844,"world war i,aerial combat,fighter plane",4.0,6.5,Roger Corman,780.0,PG-13,4.0,3.0,1971.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1694,"[10752, 28, 18, 36]",The Heroes of Telemark,/9nAExxKTVYOox0nR9nwtIkVEKN7.jpg,16850.0,1.885579,"world war ii,saboteur,resistance fighter",23.0,5.8,Anthony Mann,5155.0,Approved,6.0,4.0,1965.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4919,"[10752, 18, 28, 10769]",Von Richthofen and Brown,/d691rGgc46Ac7JdaxmQ8Sp7e9DP.jpg,84285.0,1.2844,"world war i,aerial combat,fighter plane",4.0,6.5,Roger Corman,780.0,PG-13,4.0,3.0,1971.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4729,"[10752, 18]",Under Fire,/mvscM4MPbxTxfi66AwIYHfRY7PF.jpg,12503.0,1.300173,"wife husband relationship,1970s,revolution,war photographer,nicaragua",34.0,6.9,Roger Spottiswoode,5590.0,R,17.0,2.0,1983.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
